data_point_id,original_text,label
1,"In 2023, our company reduced water usage across all facilities by 36%, saving over 20 million gallons. We partnered with the Global Water Institute to verify these reductions and implemented rainwater harvesting in all manufacturing units.",1
2,"Through our partnership with Renewable Future Fund, we installed 80,000 solar panels across our warehouses, generating 25% of our annual electricity and reducing CO₂ emissions by 45,000 tons in one year.",1
3,"We provided full transparency in our supply chain audit this year, with third-party verification of fair labor practices across 93% of our suppliers. The results are published on our website.",1
4,"In 2022, we diverted over 300,000 pounds of textile waste from landfills through our national clothing recycling initiative, partnering with community centers in 50 states.",1
5,"Our carbon offset program, verified by Gold Standard, has sequestered over 150,000 metric tons of CO₂ since 2020, through investments in reforestation and clean cookstove programs.",1
6,"We launched a $10 million fund to support smallholder farmers transitioning to organic farming, impacting over 12,000 livelihoods across South America. Progress is tracked in quarterly impact reports.",1
7,"We have committed to fully recyclable packaging by 2025, with 68% of all current product lines already meeting that standard as of this report, verified by the Sustainable Packaging Coalition.",1
8,"Our logistics division optimized routes and transitioned 30% of delivery vehicles to electric, reducing fuel consumption by 2.4 million liters and emissions by 6,000 tons.",1
9,"In collaboration with the Ocean Cleanup Project, we removed 2,500 tons of plastic waste from coastal areas and supported educational programs in 300 schools.",1
10,"In 2023, 78% of our workforce participated in company-sponsored volunteer programs, contributing 150,000 hours to community development projects across 18 countries.",1
11,"We are proud to lead the industry in sustainable practices and have made improvements to reduce our impact, including new energy-saving technologies in our offices.",2
12,Our team continues to implement green thinking in everything we do. We’ve taken steps toward eliminating single-use plastics but are still evaluating our progress.,2
13,"We launched a new campaign aimed at highlighting our commitment to environmental values. While goals are ambitious, we're still in the early stages of planning specific actions.",2
14,"In our pursuit of a greener future, we have adopted more environmentally friendly materials in some of our product lines, though not all regions have implemented this change.",2
15,"Our sustainability strategy involves reducing our carbon footprint, improving energy efficiency, and sourcing responsibly — all while maintaining our world-class products.",2
16,We recognize the urgency of climate change and are proud to announce our sustainability council. Specific action plans are still under development.,2
17,"We strive to promote environmental stewardship through employee engagement, new initiatives, and a values-driven workplace culture.",2
